title,abstract
Monitoring Virgin Olive Oil Shelf-Life by Fluorescence Spectroscopy and Sensory Characteristics: A Multidimensional Study Carried Out under Simulated Market Conditions,"The control of virgin olive oil (VOO) freshness requires new tools that reflect the diverse chemical changes that take place during the market period. Fluorescence spectroscopy is one of the techniques that has been suggested for controlling virgin olive oil (VOO) freshness during its shelf-life. However, a complete interpretation of fluorescence spectra requires analyzing multiple parameters (chemical, physical–chemical, and sensory) to evaluate the pace of fluorescence spectral changes under moderate conditions with respect to other changes impacting on VOO quality. In this work, four VOOs were analyzed every month with excitation–emission fluorescence spectra. The same samples were characterized with the concentration of fluorophores (phenols, tocopherols, chlorophyll pigments), physical–chemical parameters (peroxide value, K232, K270, free acidity), and sensory attributes (medians of defects and of the fruity attribute). From the six components extracted with parallel factor analysis (PARAFAC), two components were assigned to chlorophyll pigments and those assigned to tocopherols, phenols, and oxidation products were selected for their ability to discriminate between fresh and aged oils. Thus, the component assigned to oxidation products correlated with K270 in the range 0.80–0.93, while the component assigned to tocopherols–phenols correlated with the fruity attribute in the range 0.52–0.90. The sensory analysis of the samples revealed that the changes of these PARAFAC components occurred at the same time as, or even before, the changes of the sensory characteristics. "
Droplet Reactors with Bioluminescent Enzymes for Real-Time Water Pollution Monitoring ,"Early detection of pollutants in wastewater, water coming out of treatment facilities, drinking water, and water for agricultural needs is a challenging problem. Effective water quality monitoring requires development of new methods for express detection of pollutants. Enzymes from bioluminescent bacteria can be used for the development of new express enzyme-based bioassay systems. This work demonstrates, for the first time, a microfluidic chip to generate emulsion droplets containing two enzymes of the bacterial bioluminescent system (luciferase and NAD(P)H:FMN-oxidoreductase) with reaction substrates. The developed chip generated ``water-in-oil'' emulsion droplets with a volume of 0.1 L and a frequency of up to 12 droplets per second. A portable photomultiplier tube (PMT) was used to measure the bioluminescent signal in each individual droplet; the signal-to-noise ratio was 3000/1. The intensity of luminescence in droplets depended on the concentration of copper ions. The limit of detection (LOD) for copper sulfate was 1 mg/L. We showed that bioluminescent enzymatic reactions can be carried out in droplet reactors that can be applied for online monitoring of water quality. Thus, the suggested method of biological measurements has a good perspective for biosensing in general. "
THE EVOLUTION OF STAR FORMATION HISTORIES OF QUIESCENT GALAXIES,"The Astrophysical Journal, 832(2016) 79. doi:10.3847/0004-637X/832/1/79 "
"The Amino Acid Changes T55A, A273P and R277C in the Beta-Lactamase CTX-M-14 Render E. coli Resistant to the Antibiotic Nitrofurantoin, a First-Line Treatment of Urinary Tract Infections","The antibiotic nitrofurantoin is a furan flanked by a nitro group and a hydantoin ring. It is used to treat lower urinary tract infections (UTIs) that have a lifetime incidence of 50-60% in adult women. UTIs are typically caused by uropathogenic Escherichia coli (UPEC), which are increasingly expressing extended-spectrum beta-lactamases (ESBL), rendering them multi-drug resistant. Nitrofurantoin is a first-line treatment for gram-negative ESBL-positive UTI patients, given that resistance to it is still rare (0% to 4.4%). Multiplex PCR of -lactamase genes of the blaCTX-M groups 1, 2, 9 and 8/25 from ESBL-positive UTI patients treated at three referral hospitals in North Wales (UK) revealed the presence of a novel CTX-M-14-like gene harbouring the missense mutations T55A, A273P and R277C. While R277 is close to the active site, T55 and A273 are both located in external loops. Recombinant expression of CTX-M-14 and the mutated CTX-M-14 in the periplasm of E. coli revealed a significant increase in the Minimum Inhibitory Concentration (MIC) for nitrofurantoin from 6 g/mL (CTX-M-14) to 512 g/mL (mutated CTX-M-14). Consistent with this finding, the mutated CTX-M protein hydrolysed nitrofurantoin in a cell-free assay. Detection of a novel nitrofurantoin resistance gene indicates an emerging clinical problem in the treatment of gram-negative ESBL-positive UTI patients. "
Relationship between Land Use/Land-Use Change and Human Health in Australia: A Scoping Study,"We undertook a scoping study to map the relevant evidence, summarise the findings, and to help identify gaps in the knowledge base on the relationship between land use/land-use change and human health in Australia. Our systematic search of the scientific literature for relevant articles up to August 2020 identified 37 articles. All 37 articles meeting our inclusion criteria were published after 2003. Zoonotic or vector-borne disease constituted the most common health outcome type studied. Agriculture/grazing was the land use/land-use change type most frequently represented in the literature, followed by coal seam gas extraction and open cut coal mining. The relationship between land use/land use change and human health in Australia, is not conclusive from the existing evidence. This is because of (1) a lack of comprehensive coverage of the topic, (2) a lack of coverage of the geography, (3) a lack of coverage of study types, and (4) conflicting results in the research already undertaken. If we are to protect human health and the ecosystems which support life, more high-quality, specific, end-user driven research is needed to support land management decisions in Australia. Until the health effects of further land use change are better known and understood, caution ought to be practiced in land management and land conversion. "
Doping Effect on Cu2Se Thermoelectric Performance: A Review,"Cu2Se, owing to its intrinsic excellent thermoelectric (TE) performance emerging from the peculiar nature of “liquid-like” Cu+ ions, has been regarded as one of the most promising thermoelectric materials recently. However, the commercial use is still something far from reach unless effective approaches can be applied to further increase the figure of merit (ZT) of Cu2Se, and doping has shown wide development prospect. Until now, the highest ZT value of 2.62 has been achieved in Al doped samples, which is twice as much as the original pure Cu2Se. Herein, various doping elements from all main groups and some transitional groups that have been used as dopants in enhancing the TE performance of Cu2Se are summarized, and the mechanisms of TE performance enhancement are analyzed. In addition, points of great concern for further enhancing the TE performance of doped Cu2Se are proposed. "
Assessment of Microvessel Permeability in Murine Atherosclerotic Vein Grafts Using Two-Photon Intravital Microscopy,"Plaque angiogenesis and plaque hemorrhage are major players in the destabilization and rupture of atherosclerotic lesions. As these are dynamic processes, imaging of plaque angiogenesis, especially the integrity or leakiness of angiogenic vessels, can be an extremely useful tool in the studies on atherosclerosis pathophysiology. Visualizing plaque microvessels in 3D would enable us to study the architecture and permeability of adventitial and intimal plaque microvessels in advanced atherosclerotic lesions. We hypothesized that a comparison of the vascular permeability between healthy continuous and fenestrated as well as diseased leaky microvessels, would allow us to evaluate plaque microvessel leakiness. We developed and validated a two photon intravital microscopy (2P-IVM) method to assess the leakiness of plaque microvessels in murine atherosclerosis-prone ApoE3*Leiden vein grafts based on the quantification of fluorescent-dextrans extravasation in real-time. We describe a novel 2P-IVM set up to study vessels in the neck region of living mice. We show that microvessels in vein graft lesions are in their pathological state more permeable in comparison with healthy continuous and fenestrated microvessels. This 2P-IVM method is a promising approach to assess plaque angiogenesis and leakiness. Moreover, this method is an important advancement to validate therapeutic angiogenic interventions in preclinical atherosclerosis models. "
"Impact of Employed Labor Force, Investment, and Remittances on Economic Growth in EU Countries","This paper analyzes the evolution and influence of gross domestic product per capita, labor force participation rate, gross fixed capital formation, and personal remittances on economic growth for European Union (EU) countries, using data from the World Bank (1996–2019) and from Eurostat (the first two quarters 2019–2020). The study has three components: statistical analysis, analysis of the evolution for each country and EU, and estimation of the impact on economic growth rate by using a linear multifactorial regression model for 1996–2019, 1996–2008, and 2009–2019. The model was validated by econometric techniques. The long-term causal relationship between exogenous and endogenous variables was validated by the Granger test. The results of the study show a differentiated evolution of the indicators, and that all indicators are severely affected by the 2008 financial crisis and the debut of the COVID-19 crisis in early 2020. The model used shows the significant positive influence of labor and investment, and the minor effect of remittances on economic growth. In the context of the COVID-19 epidemic, the results of the study could be arguments to be considered for the redesign of economic policies at European Union level. "
Membrane Protein Modified Electrodes in Bioelectrocatalysis,"Transmembrane proteins involved in metabolic redox reactions and photosynthesis catalyse a plethora of key energy-conversion processes and are thus of great interest for bioelectrocatalysis- based applications. The development of membrane protein modified electrodes has made it possible to efficiently exchange electrons between proteins and electrodes, allowing mechanistic studies and potentially applications in biofuels generation and energy conversion. Here, we summarise the most common electrode modification and their characterisation techniques for membrane proteins involved in biofuels conversion and semi-artificial photosynthesis. We discuss the challenges of applications of membrane protein modified electrodes for bioelectrocatalysis and comment on emerging methods and future directions, including recent advances in membrane protein reconstitution strategies and the development of microbial electrosynthesis and whole-cell semi-artificial photosynthesis. "
The Impact of Graphene and Diatomite Admixtures on the Performance and Properties of High-Performance Magnesium Oxychloride Cement Composites,"A high-performance magnesium oxychloride cement (MOC) composite composed of silica sand, diatomite powder, and doped with graphene nanoplatelets was prepared and characterized. Diatomite was used as a 10 vol.% replacement for silica sand. The dosage of graphene was 0.5 wt.% of the sum of the MgO and MgCl26H2O masses. The broad product characterization included high-resolution transmission electron microscopy, X-ray diffraction, X-ray fluorescence, scanning electron microscopy and energy dispersive spectroscopy analyses. The macrostructural parameters, pore size distribution, mechanical resistance, stiffness, hygric and thermal parameters of the composites matured for 28-days were also the subject of investigation. The combination of diatomite and graphene nanoplatelets greatly reduced the porosity and average pore size in comparison with the reference material composed of MOC and silica sand. In the developed composites, well stable and mechanically resistant phase 5 was the only precipitated compound. Therefore, the developed composite shows high compactness, strength, and low water imbibition which ensure high application potential of this novel type of material in the construction industry. "
"THE MAGNETIC SENSITIVITY OF THE Mg ii k LINE TO THE JOINT ACTION OF HANLE, ZEEMAN, AND MAGNETO-OPTICAL EFFECTS","The Astrophysical Journal Letters, 831(2016) L15. doi:10.3847/2041-8205/831/2/L15 "
An Improved HMM-Based Approach for Planning Individual Routes Using Crowd Sourcing Spatiotemporal Data,"With the rapid development of LBSs (location-based services) in recent years, researchers have increasingly taken an interest in trying to make travel routes more practicable and individualized. Despite the fact that many studies have been conducted on routes using LBS data, the specific routes are deficient in dynamic scalability and the correlations between environmental constraints and personal choices have not been investigated. This paper proposes an improved HMM-based (hidden Markov model) method for planning personalized routes with crowd sourcing spatiotemporal data. It tries to integrate the dynamic public preferences, the individual interests and the physical road network space in the same spatiotemporal framework, ensuring that reasonable routes will be generated. A novel dual-layer mapping structure has been proposed to bridge the gap from brief individual preferences to specific entries of POIs (points-of-interest) inside realistic road networks. A case study on Changsha city has proven that the proposed method can not only flexibly plan people's travel routes under different spatiotemporal backgrounds but also is close to people's natural selection by the perception of the group. "
Labeled vs. Label-Free Raman Imaging of Lipids in Endothelial Cells of Various Origins,"Endothelial cells (EC) constitute a single layer of the lining of blood vessels and play an important role in maintaining cardiovascular homeostasis. Endothelial dysfunction has been recognized as a primary or secondary cause of many diseases and it manifests itself, among others, by increased lipid content or a change in the lipid composition in the EC. Therefore, the analysis of cellular lipids is crucial to understand the mechanisms of disease development. Tumor necrosis factor alpha (TNF-)-induced inflammation of EC alters the lipid content of cells, which can be detected by Raman spectroscopy. By default, lipid detection is carried out in a label-free manner, and these compounds are recognized based on their spectral profile characteristics. We consider (3S,3'S)-astaxanthin (AXT), a natural dye with a characteristic resonance spectrum, as a new Raman probe for the detection of lipids in the EC of various vascular beds, i.e., the aorta, brain and heart. AXT colocalizes with lipids in cells, enabling imaging of lipid-rich cellular components in a time-dependent manner using laser power 10 times lower than that commonly used to measure biological samples. The results show that AXT can be used to study lipids distribution in EC at various locations, suggesting its use as a universal probe for studying cellular lipids using Raman spectroscopy. The use of labeled Raman imaging of lipids in the EC of various organs could contribute to their easier identification and to a better understanding of the development and progression of various vascular diseases, and it could also potentially improve their diagnosis and treatment. "
Low-Temperature Synthesis of Monolithic Titanium Carbide/Carbon Composite Aerogel,"Resorcinol-formaldehyde/titanium dioxide composite (RF/TiO2) gel was prepared simultaneously by acid catalysis and then dried to aerogel with supercritical fluid CO2. The carbon/titanium dioxide aerogel was obtained by carbonization and then converted to nanoporous titanium carbide/carbon composite aerogel via 800 C magnesiothermic catalysis. Meanwhile, the evolution of the samples in different stages was characterized by X-ray diffraction (XRD), an energy-dispersive X-ray (EDX) spectrometer, a scanning electron microscope (SEM), a transmission electron microscope (TEM) and specific surface area analysis (BET). The results showed that the final product was nanoporous TiC/C composite aerogel with a low apparent density of 339.5 mg/cm3 and a high specific surface area of 459.5 m2/g. Comparing to C aerogel, it could also be considered as one type of highly potential material with efficient photothermal conversion. The idea of converting oxide–carbon composite into titanium carbide via the confining template and low-temperature magnesiothermic catalysis may provide new sight to the synthesis of novel nanoscale carbide materials. "
Identification of Metabolic Biomarkers in Relation to Methotrexate Response in Early Rheumatoid Arthritis,"This study aimed to identify baseline metabolic biomarkers for response to methotrexate (MTX) therapy in rheumatoid arthritis (RA) using an untargeted method. In total, 82 baseline plasma samples (41 insufficient responders and 41 sufficient responders to MTX) were selected from the Treatment in the Rotterdam Early Arthritis Cohort (tREACH, trial number: ISRCTN26791028) based on patients’ EULAR response at 3 months. Metabolites were assessed using high-performance liquid chromatography-quadrupole time of flight mass spectrometry. Differences in metabolite concentrations between insufficient and sufficient responders were assessed using partial least square regression discriminant analysis (PLS-DA) and Welch’s t-test. The predictive performance of the most significant findings was assessed in a receiver operating characteristic plot with area under the curve (AUC), sensitivity and specificity. Finally, overrepresentation analysis was performed to assess if the best discriminating metabolites were enriched in specific metabolic events. Baseline concentrations of homocystine, taurine, adenosine triphosphate, guanosine diphosphate and uric acid were significantly lower in plasma of insufficient responders versus sufficient responders, while glycolytic intermediates 1,3-/2,3-diphosphoglyceric acid, glycerol-3-phosphate and phosphoenolpyruvate were significantly higher in insufficient responders. Homocystine, glycerol-3-phosphate and 1,3-/2,3-diphosphoglyceric acid were independent predictors and together showed a high AUC of 0.81 (95% CI: 0.72–0.91) for the prediction of insufficient response, with corresponding sensitivity of 0.78 and specificity of 0.76. The Warburg effect, glycolysis and amino acid metabolism were identified as underlying metabolic events playing a role in clinical response to MTX in early RA. New metabolites and potential underlying metabolic events correlating with MTX response in early RA were identified, which warrant validation in external cohorts.20pt "
Influence of Parental Fatty Acid Desaturase 2 (fads2) Expression and Diet on Gilthead Seabream (Sparus aurata) Offspring fads2 Expression during Ontogenesis,"Previous studies have shown that it is possible to increase the ability of marine fish to produce long-chain polyunsaturated fatty acid from their 18C precursors by nutritional programming or using broodstock with a higher fatty acyl desaturase 2 (fads2) expression. However, those studies failed to show the effect of these interventions on the expression of the fads2 gene in the developing egg. Moreover, there were no studies on the temporal expression of the fads2 during ontogeny in the gilthead sea bream (Sparus aurata). In order to determine the changes in expression of fads2 during ontogeny, gilthead sea bream broodstock with a high (HRO) or low (LRO) fads2 expression fed a diet previously used for nutritional programming, or a fish oil-based diet (LFO) were allowed to spawn. The samples were taken at the stages of spawning, morula, high blastula, gastrula, neurula, heart beating, hatch and 3 day-old first exogenous feeding larvae to determine fads2 expression throughout embryonic development. The results showed the presence of fads2 mRNA in the just spawned egg, denoting the maternal mRNA transfer to the developing oocyte. Later, fads2 expression increased after the neurula, from heart beating until 3-day-old larvae, denoting the transition from maternal to embryonic gene expression. In addition, the eggs obtained from broodstock with high fads2 expression showed a high docosahexaenoic acid content, which correlated with the downregulation of the fads2 expression found in the developing embryo and larvae. Finally, feeding with the nutritional programming diet with the partial replacement of fish oil by rapeseed oil did not affect the long chain polyunsaturated fatty acid (LC-PUFA) contents nor fads2 expression in the gilthead sea bream developing eggs. "
Strawberry Puree Functionalized with Natural Hydroxytyrosol: Effects on Vitamin C and Antioxidant Activity,"The natural antioxidant hydroxytyrosol (HT) was used to functionalize a strawberry puree. The effect of the antioxidant on the stability of the two bioactive forms of vitamin C (ascorbic acid-AA and dehydroascorbic acid-DHAA) in strawberry puree stored at 4 C, compared with the effect on a model system of AA in water, was investigated. In the absence of HT, the concentration of vitamin C in strawberry puree decreased but not in the model system. Low concentrations of HT in strawberry puree (0.05 and 0.1 mg HT/g puree) stabilized vitamin C and improved its antioxidant activity. However, at high concentrations of HT (from 0.5 mg HT/g puree), although the antioxidant activity improved, degradation of vitamin C occurred. Therefore, the concentration of HT used to obtain a functionalized strawberry puree it is very important. An adequate concentration increases the antioxidant activity and protects vitamin C from degradation, developing a functional food. However, an inadequate concentration of HT affects the vitamin C content, which is essential for the human diet because it cannot be biosynthetized by the organism. "
Finding the Dose for Ceftolozane-Tazobactam in Critically Ill Children with and without Acute Kidney Injury,"Background: Ceftolozane-tazobactam is a new antibiotic against multidrug-resistant pathogens such as Pseudomonas aeruginosas. Ceftolozane-tazobactam dosage is still uncertain in children, especially in those with renal impairment or undergoing continuous renal replacement therapy (CRRT). Methods: Evaluation of different ceftolozane-tazobactam dosing regimens in three critically ill children. Ceftolozane pharmacokinetics (PK) were characterized by obtaining the patient’s specific parameters by Bayesian estimation based on a population PK model. The clearance (CL) in patient C undergoing CRRT was estimated using the prefilter, postfilter, and ultrafiltrate concentrations simultaneously. Variables such as blood, dialysate, replacement, and ultrafiltrate flow rates, and hematocrit were integrated in the model. All PK analyses were performed using NONMEM v.7.4. Results: Patient A (8 months of age, 8.7 kg) with normal renal function received 40 mg/kg every 6 h: renal clearance (CLR) was 0.88 L/h; volume of distribution (Vd) Vd1 "
GWAS Based on RNA-Seq SNPs and High-Throughput Phenotyping Combined with Climatic Data Highlights the Reservoir of Valuable Genetic Diversity in Regional Tomato Landraces,"Tomato (Solanum lycopersicum L.) is a widely used model plant species for dissecting out the genomic bases of complex traits to thus provide an optimal platform for modern “-omics” studies and genome-guided breeding. Genome-wide association studies (GWAS) have become a preferred approach for screening large diverse populations and many traits. Here, we present GWAS analysis of a collection of 115 landraces and 11 vintage and modern cultivars. A total of 26 conventional descriptors, 40 traits obtained by digital phenotyping, the fruit content of six carotenoids recorded at the early ripening (breaker) and red-ripe stages and 21 climate-related variables were analyzed in the context of genetic diversity monitored in the 126 accessions. The data obtained from thorough phenotyping and the SNP diversity revealed by sequencing of ripe fruit transcripts of 120 of the tomato accessions were jointly analyzed to determine which genomic regions are implicated in the expressed phenotypic variation. This study reveals that the use of fruit RNA-Seq SNP diversity is effective not only for identification of genomic regions that underlie variation in fruit traits, but also of variation related to additional plant traits and adaptive responses to climate variation. These results allowed validation of our approach because different marker-trait associations mapped on chromosomal regions where other candidate genes for the same traits were previously reported. In addition, previously uncharacterized chromosomal regions were targeted as potentially involved in the expression of variable phenotypes, thus demonstrating that our tomato collection is a precious reservoir of diversity and an excellent tool for gene discovery. "
Agroecology in Large Scale Farming—A Research Agenda,"Agroecology promises a third way between common global agriculture tradeoffs such as food production and nature conservation, environmental sustainability and ecosystem services. "
